z	Ep	BV	Adr	Dec	SS	KD	GAM	Puf	NMZ	Gattung neu	Gattung alt	ID	Ordnungsnummer	RBD oder Bezirk	BW	Hst	Artikelnummer	Set	LüP	Datum	Ohne OVP	Zust	Kaufpreis	Quelle	Anmerkung
;Dampfloks
	II	DRG		DRG	Ohne	-	-	-	-	VT851		L58	VT 851			Tr	12841		131	11.12.2019		gebr	0	ebay	Mainz - Darmstadt Hbf
	II	DRG	135	Trix	Platine	x	-	-	-		VT  135 009 	L59	VT 135 009			Tr	12388		156	21.11.2018		neuw	115,74	ebay	Zuglauf Fürth i.W. - Regensburg
	IV	DR		DH10C	Löt	-	-	-	-	172		L147	172 121-6			Br	64314		169,4	11.08.2016		neu	159,9	meinMBS	
x	IV	DB			Ohne	-	-	-	-	VT/VB95		L148	785 211-2			Fl	7402		83	08.11.2022		neuw	115,9	ebay	und #7403 995 039-5
x	III	DB			Ohne	-	-	-	-	VT/VB95		L149	VT95 9159	Nürnberg	Ansbach	Fl	7400		83	03.03.2023		gebr	53	1zu160	Loses Tw-Gehäuse, Dachlichter ohne Gehäuse. Mit Beiwagen 7401!
x	IV	DB		Uhlenbrock	Plux16	-	-	-	-	VT/VS98		L150	798 723-3			Pi	40250		174	02.11.2022		neuw	159,81	ebay	und 998 779-3. Digitalisierung Steuerwagen: https://www.1001-digital.de/pages/basteln-bauen/triebfahrzeugumbauten/piko/vt98-mit-dh16a-und-fh05b.php
	II	DRG		DCX76	NEM651	-	-	-	-		VT 137
VS 145	L60	VT 137 251 + VS 145 173			HT	2680		270	01.09.2014		neu	156,88	dm-toys	
	II	DRG		geplant U73410	NEM651	-	-	-	-		BPwPostK8vT-34	L61	SVT 137 155			HT	2630		436	02.10.2024		neuw	177	1zu160	215 km/h Messfahrt Berlin - Hamburg. Mit Decoder kein Wechsel Front-/Schlusslicht; Beleuchtung dauerhaft an
	II	DRG	12	N025	Ohne	-	-	-	-		B6i VT	L62	SVT 877a/b	Berlin	Lehrter Bf	Ka	10707		263	01.07.2017		neuw	85	ebay	
	II	DRG	11	68530	Ohne	-	-	-	-		B6i VT	L63	SVT 137 149a+b	Berlin	Lehrter Bf	Ka	10711		277	25.06.1905		neuw	129	ebay	
