ID	Epoche	BV	Gattungsbezirk	Ordnungsnummer	Direktion	Bahnbetriebswerk	Hst	Art.-Nr.
P215	II	DRG	Stutgart	50 238				
P216	II	DRG	Stutgart	50 238				
P217	II	DRG	Stuttgart	50 029				
P218	II	DRG	Stuttgart	50 029				
P219	II	DRG	41 Stuttgart					
P220	II	DRG	Stuttgart 34 114					
P221	II	DRG	Stuttgart 34 117					
;Preuß. Lokalbahnwagen
P222	I	KPEV	Altona	3801				
P223	II	DRG	Königsberg	099 522				
P224	II	DRG	Königsberg	037 061				
P225	I	KPEV	Halle	1488				
P226	I	KPEV	Halle	1489				
P227	II	DRG	Königsberg	050 211				
P228	I	KPEV	Halle	3961				
P229	I	KPEV	Halle	2456				
P230	I	KPEV	Halle	903				
;Preuß. zweiachsige Nebenbahnwagen
P231	II	DRG	Altona	92 340x				
P232	I	KPEV	Altona	1959				
P233	I	KPEV	Erfurt	2678				
P234	I	KPEV	Erfurt	2361				
P235	I	KPEV	Gotha	2522				
P236	I	KPEV	Erfurt	2532				
P237	II	DRG	Breslau	92467				
P238	II	DRG	Breslau	92467				
;Preuß. zwei- und dreiachsige Nebenbahnwagen
P239	I	KPEV	Halle	5986				
P240	I	KPEV	Halle	706				
P241	I	KPEV	Hannover	720				
P242	I	KPEV	Breslau	2282				
P243	I	KPEV	Breslau	2429				
P244	I	KPEV	Stettin	2747				
P245	I	KPEV	Halle	2653				
P246	I	KPEV	Hannover	2641				
P247	II	DRG	Berlin	99 511				
P248	II	DRG	Berlin	99 511				
P249	II	DRG	Berlin	99 511				
P250	II	DRG	Berlin	99 511				
P251	II	DRG	Berlin	99 511				
P252	II	DRG	Halle	49 001				
P253	II	DRG	Halle	49 001				
P254	II	DRG	Halle	49 001				
P255	II	DRG	Halle	49 001				
P256	II	DRG	Halle	49 001				
P257	II	DRG	Halle	50 280				
;Preuß. zwei-/dreiachsige Abteilwagen
P258	I	KPEV	Erfurt	3140				
P259	I	KPEV	Coeln	3247				
P260	II	DRG	Altona	111 037				
P261	I	KPEV	Coeln	1126				
P262	I	KPEV	Coeln	1126				
P263	I	KPEV	Berlin	1149				
P264	I	KPEV	Berlin	1153				
P265	I	KPEV	Halle	1762				
P266	I	KPEV	Berlin	1891				
P267	I	KPEV	Coeln	1873				
P268	I	KPEV	Coeln	1873				
P269	I	KPEV	Coeln	1873				
P270	I	KPEV	Coeln	1879				
P271	I	KPEV	Coeln	1879				
P272	II	DRG	Altona	70 501				
P273	II	DRG	Altona	70 517				
P274	II	DRG	Altona	70 517				
P275	II	DRG	Altona	70 544				
P276	II	DRG	Altona	70 544				
P277	II	DRG	Altona	70 544				
;Einheitspersonenwagen (Abteil) für Hauptbahnen
P278	II	DRG	Mainz	114 151				
P279	II	DRG	München	114 178				
P280	II	DRG	Mainz	44 831				
P281	II	DRG	Frankfurt	45 424				
P282	II	DRG	Mainz	31 040				
P283	II	DRG	Mainz	31 036				
;EInheitsdurchgangspersonenwagen (Donnerbüchsen)
P284	II	DRG	Nürnberg	114 263				
P285	II	DRG	Nürnberg	28 604				
P286	II	DRG	Nürnberg	36 441				
P287	II	DRG	Nürnberg	41 504				
P288	II	DRG	Nürnberg	41 504				
P289	II	DRG	Nürnberg	41 504				
P290	II	DRG	Nürnberg	41 504				
P291	II	DRG	Nürnberg	41 504				
P292	II	DRG	Nürnberg	84 523				
P293	II	DRG	Nürnberg	83 072				
;Städteexpress
P294	IV	DR		51 50 10 40 206-0				
P295	IV	DR		51 50 10 40 206-0				
P296	IV	DR		51 50 21 53 005-7				
P297	IV	DR		51 50 21 53 005-7				
P298	IV	DR		50 50 21 12 004-1				
P299	IV	DR		50 50 21 12 000-9				
P300	IV	DR						
P301	IV	DR						
P302	IV	Mitropa						
;Internationaler Verkehr (UIC Y, Z)
P303	IV	DR		51 50 82 45 007-8				
P304	IV	DR		51 50 82 45 007-8				
P305	IV	DR						
P306	IV	DR		51 50 20-40 129-2				
P307	IV	DR						
P308	IV	DR		51 50 21 53-204-6				
P309	IV	DR		51 50 21 53-124-6				
P310	IV	DR		51 50 21 53-096-6				
P311	IV	DR						
P312	IV	DR						
P313	IV	Mitropa						
P314	IV	DR		51 80 10-40 223-9				
P315	IV	DR		51 80 22-41 037-8				
P316	IV	DR		51 80 22-40 951-1				
P317	IV	DB						
P318	IV	DB						
P319	IV	DB						
P320	IV	DB						
P321	IV	DB						
P322	IV	DB						
;Binnenverkehr (UIC B)
P323	IV	DR		51 50 20-40 030-2				
P324	IV	DR		51 50 20-45 033-1				
P325	IV	DR		51 50 88-40111-9				
P326	IV	DR		51 50 39-40 061-6				
P327	IV	DR		51 50 20-40 198-7				
P328	IV	DR		51 50 20-40 207-6				
P329	IV	DR		51 50 59 40 009-0				
P330	IV	Mitropa		51 50 70 40 177-5				
P331	IV	Mitropa		51 50 70 40 124-2				
P332	IV	Mitropa		51 50 88 40 103-6				
P333	IV	DR		51 50 98 80 002-9				
P334	IV	DR		51 50 98 80 003-7				
;Binnenverkehr (Mitteleinstiegwagen)
P335	IV	Mitropa						
P336	IV	DR		51 50 21-40 039-2				
P337	IV	DR		51 50 21-40 045-9				
P338	IV	DR		51 50 21-40 071-5				
P339	IV	DR		51 50 21-40 106-9				
P340	IV	DR		51 50 21-40 039-2				
P341	IV	DR		51 50 21-45 078-5				
P342	IV	DR		51 50 21-45 094-2				
P343	IV	DR		51 50 21-45 101-5				
P344	IV	DR		51 50 21-45 120-5				
;Balt-Orient-Express
P345	IV	DR		51 50 20-40 070-8				
P346	IV	DR		51 50 19-80 043-9				
P347	IV	DR		51 50 20-80 218-4				
P348	IV	Mitropa		51 50 70-40 159-8				
P349	IV	CFR		51 53 70-50 019-8				
P350	IV	MAV		51 55 70-80 002-6				
P351	IV	CSD		51 54 59-41 156-4				
P352	IV	CSD		51 54 20-40 457-3				
P353	IV	CSD		51 54 20-41 771-6				
;Binneverkehr (Modernisierungswagen)
P354	IV	DR		51 50 29 13 026-3				
P355	IV	DR		51 50 29 45 268-5				
P356	IV	DR		51 50 85 45 518-3				
P357	IV	DR		51 50 17 45 061-8				
P358	IV	DR		51 50 38 45 048-6				
P359	IV	DR		51 50 95 40 220-8				
P360	IV	DR		51 50 17 45 061-8				
P361	IV	DR		51 50 38 45 048-6				
P362	IV	DR		51 50 95 40 220-8				
;Binnenverkehr (Lowa)
P363	IV	DR		82-14 246-4				
P364	IV	DR		29-14 314-4				
P365	IV	DR		29-14 316-9				
P366	IV	DR		29-14 319-3				
P367	IV	DR		29-14 320-1				
P368	IV	DR		50 50 80 14 200-1				
P369	IV	DR		50 50 29 40 025-6				
P370	IV	DR		50 50 49 14216-1				
P371	IV	DR		50 50 49 14221-1				
