z	Korr	Ep	BV	Bel	Gattung	Bezirk	Wagennr.	Id	OVP	Herst	Art.-Nr.	Set	LüP	Datum	KP	Quelle	Zugschluss	Zuglauf	Anmerkung
		II	DRP	-	Post4ü-b/20	Köln	3936	P114		Ro	02062S		132	27.10.2002	10,5975	ebay			Manche Wagen mit Kulisse nachgerüstet, manche mit losen Drehgestellen/Trittbrettern
		II	DRG	-	A4ü-23	Hannover	11 005	P115		Ro	02062S		128	27.10.2002	10,5975	ebay			Manche Wagen mit Kulisse nachgerüstet, manche mit losen Drehgestellen/Trittbrettern
		II	DRG	-	AB4ü-23	Hannover	11 214	P116		Ro	02062S		128	27.10.2002	10,5975	ebay			Manche Wagen mit Kulisse nachgerüstet, manche mit losen Drehgestellen/Trittbrettern
		II	DRG	-	AB4ü-23	Hannover	11 289	P117		Ro	02062S		128	27.10.2002	10,5975	ebay			Manche Wagen mit Kulisse nachgerüstet, manche mit losen Drehgestellen/Trittbrettern
		II	DRG	-	C4ü-22	Hannover	16 043	P118		Ro	02062S		128	27.10.2002	10,5975	ebay			Manche Wagen mit Kulisse nachgerüstet, manche mit losen Drehgestellen/Trittbrettern
		II	DRG	-	C4ü-22	Hannover	16 044	P119		Ro	02062S		128	27.10.2002	10,5975	ebay			Manche Wagen mit Kulisse nachgerüstet, manche mit losen Drehgestellen/Trittbrettern
		II	Mitropa	-	WLC4ü-21	Mitropa	36 002	P120		Ro	02062S		133	27.10.2002	10,5975	ebay			Manche Wagen mit Kulisse nachgerüstet, manche mit losen Drehgestellen/Trittbrettern
;Rheingold
		II	DRG	-	SPw4ü-28	Köln	90 202	P121	¨	Tr	11468.1	11468	122	10.08.2022	24,9	1zu160			
		II	Mitropa	-	SA4ü-28	Köln	20 504	P122	¨	Tr	11468.2	11468	147	10.08.2022	24,9	1zu160		n. Zürich	
		II	Mitropa	-	SA4ük-28	Köln	20 501	P123	¨	Tr	11468.3	11468	147	10.08.2022	24,9	1zu160		n. Basel	
		II	Mitropa	-	SB4ü-28	Köln	24 508	P124	¨	Tr	11468.4	11468	147	10.08.2022	24,9	1zu160		n. Basel	
		II	Mitropa	-	SB4ük-28	Köln	24 505	P125	¨	Tr	11468.5	11468	147	10.08.2022	24,9	1zu160		n. Zürich	
;Rheingold
		II	DRG	-	SPw4ü-28	Köln	105 002	P126	¨	Tr	15784		122	08.12.2013	27,554	ebay			
		II	Mitropa	-	SA4ü-28	Köln	10 502	P127	¨	Tr	15780		147	08.12.2013	27,554	ebay			
		II	Mitropa	-	SA4ük-28	Köln	10 503	P128	¨	Tr	15781		147	08.12.2013	27,554	ebay			
		II	Mitropa	-	SB4ü-28	Köln	10 710	P129	¨	Tr	15782		147	08.12.2013	27,554	ebay			
		II	Mitropa	-	SB4ük-28	Köln	10 703	P130	¨	Tr	15783		147	08.12.2013	27,554	ebay			
;Karwendel
		II	DRG	-	Pw4ük-29	München	105 270	P131	?	Li	364550		123	31.03.2020	30	ebay Michas Bahnhof			
		II	DRG	-	C4ü-29	München	16 365	P132	?	Li	364535		130	24.05.2020	37,49	ebay			
		II	DRG	-	C4ü-29	München	16 367	P133	¨	Li	364545		130	07.05.2021	40,31	SMDV			
		II	DRG	-	C4ü-29	München	16 364	P134	¨	Li	364534		130	07.05.2021	40,31	SMDV			
		II	DRG	-	B4ü-29	München	15 018	P135	¨	Li	364533		130	07.05.2021	40,31	SMDV			
;ISG-Wagen
		II	CIWL	-	F			P136	¨	HN	4001.1	4001		29.11.2013	21,8	ebay			
		II	CIWL	-	F			P137	¨	HN	4001.2	4001		29.11.2013	21,8	ebay			
		II	CIWL	-	Lx			P138	¨	HN	4001.3	4001		29.11.2013	21,8	ebay			
		II	CIWL	-	Lx			P139	¨	HN	4001.4	4001		29.11.2013	21,8	ebay			
		II	CIWL	-	Lx			P140	¨	HN	4001.5	4001		29.11.2013	21,8	ebay			
;Einheits-Schnellzugwagen Gruppe 28
		II	DRG	-	PwPost4ü-34	Hannover	100 021	P141		Tr	11432.1	11432	140	16.10.2011	19,65	ebay			
x		II	DRG	x	PwPost4ü-34	Karlsruhe	100 022	P142		Tr	11455.1	11455	140	01.10.2011	20	ebay			Im Set Schwarzwaldbahn
		II	DRG	-	PwPost4ü-28	Altona	100 003	P143		Fl	863602		141	22.05.2013	28,69	MSL			
		II	DRG	-	AB4ü-28	Hannover	11 343	P144		Tr	11432.2	11432	136	16.10.2011	19,65	ebay			
		II	DRG	-	AB4ü-28	Köln	21 507	P145		Tr	15710.3	15710	136	09.08.2011	26,7125	ebay 			
		II	DRG	-	AB4ü-28	Köln	21 507	P146		Tr	15710.3	15710	136	04.12.2011	21,625	ebay			
		II	DRG	-	AB4ü-28	Köln	21 507	P147		Tr	15710.3	15710	136	07.12.2011	21,8	ebay			
		II	DRG	-	C4ü-28	München	16 217	P148		Tr	15859.02	15859	136	12.08.2011	14,2583333333333	ebay			
		II	DRG	-	C4ü-28	Köln	26 529	P149		Tr	15710.1	15710	136	09.08.2011	26,7125	ebay			
x		II	DRG	-	C4ü-28	Köln	26 529	P150		Tr	15710.1	15710	136	04.12.2011	21,625	ebay			
x		II	DRG	-	C4ü-28	Köln	26 529	P151		Tr	15710.1	15710	136	07.12.2011	21,8	ebay			
		II	DRG	-	C4ü-28	Köln	26 534	P152		Tr	15710.2	15710	136	15710.3	26,7125	ebay			
x		II	DRG	-	C4ü-28	Köln	26 534	P153		Tr	15710.2	15710	136	04.12.2011	21,625	ebay			
x		II	DRG	-	C4ü-28	Köln	26 534	P154		Tr	15710.2	15710	136	07.12.2011	21,8	ebay			
		II	DRG	x	C4ü-28	Karlsruhe	16 221	P155		Tr	11455.3	11455	136	01.10.2019	20	ebay			Im Set Schwarzwaldbahn
		II	DRG	x	C4ü-28	Karlsruhe	16 223	P156		Tr	11455.4	11455	136	01.10.2019	20	ebay			Im Set Schwarzwaldbahn
