Bahnhof	lat	lon
Landshut (Bay) Hbf	48,547865	12,135944
Landshut (Bay) Süd	48,523824	12,140408
Langen (Hess)	49,993671	8,656969
Langenbach (Oberbay)	48,438084	11,851845
Langenberg (Thür)	50,916996	12,047367
Langenbrücken	49,200663	8,641777
Langenisarhofen	48,735814	12,962666
Langenlebarn	48,327496	16,122093
Langenselbold	50,162055	9,057498
Langenwang (Schwab)	47,436680	10,276079
Langenweg	47,552013	9,691272
Langer Stein	47,512563	9,753413
Langweid (Lech)	48,490217	10,847626
Lankwitz	52,438694	13,341694
Lanzing	48,055824	12,724743
Laubenheim (Rhein)	49,961381	8,314075
Lauda	49,565362	9,709682
Laudenbach (Bergstr)	49,612323	8,644609
Lauenstein (Oberfr)	50,510575	11,373081
Laufen (Oberbay)	47,933482	12,922153
Laufenburg (Baden)	47,563670	8,057957
Laufenburg (Baden) Ost	47,567492	8,076153
Lauffen (Neckar)	49,076396	9,146032
Leeheim-Wolfskehlen	49,854780	8,493075
Lehndorf (Kr Altenburg)	50,940582	12,426910
Leimen	49,352721	8,670616
Leinau	47,916342	10,621719
Leipheim	48,450269	10,215740
Leipzig Alfred-Kindler-Str	51,344124	12,422619
Leipzig Hbf	51,204400	12,225700
Leipzig-Connewitz	51,300569	12,385712
Leipzig-Gohlis	51,214500	12,222800
Leipzig-Großzschocher	51,301857	12,314472
Leipzig-Knauthain	51,278025	12,308979
Leipzig-Leutzsch	51,212400	12,185200
Leipzig-Möckern	51,215000	12,210600
Leipzig-Plagwitz	51,328198	12,322884
Leipzig-Stötteritz	51,322245	12,408371
Leißling	51,185745	11,907978
Leonding (Reichsb)	48,274168	14,261713
Lettowitz	49,556175	16,570988
Leubsdorf (Rhein)	50,546926	7,286339
Leuna Werke	51,313232	12,003679
Leutershausen-Wiedersbach	49,295800	10,444007
Leutesdorf 	50,447831	7,392254
Libschitz	50,200309	14,363594
Lichtenfels	50,146684	11,059456
Lichtenrade	52,387230	13,396111
Lichterfelde Süd	52,244000	13,183400
Lichtowitz	50,558856	14,033275
Lieben	50,111421	14,473307
Limbach	49,338658	11,044521
Limbach (Vogtl)	50,586316	12,252374
Limberg-Malssau	48,596365	15,857735
Limmritz (Sachs)	51,117910	13,049762
Linda (Elster)	51,510700	13,050800
Lindau Hbf	47,544757	9,680200
Lindau-Aeschach	47,558689	9,684620
Lindau-Reutin	47,552288	9,706593
Lindau-Schönau	47,576352	9,672604
Lindau-Siebertsdorf	47,544960	9,725819
Lindenhau	50,029247	12,458067
Linz (Donau) Hbf	48,290446	14,292097
Linz (Rh)	50,569174	7,276382
Lispenhausen	50,990718	9,765794
Lobositz	50,509497	14,060097
Lobositz Stadt	50,521722	14,045506
